Tipo;Designacion;d;bf;tf;hw;tw=r1;r2;bf/2tf;hw/tw;Ag;Peso;Ix;Sx;rx;Qx;Zx;Iy;Sy;ry;Qy;1.5Sy;Zy;w1;d1;w4;t1;w3;J;Cw;X1;X2
W;27x235;728;360;40.9;610.0;23.1;;4.4;26.4;445.8;349.7;402080.0;11045.0;30.0;6301.0;12602.0;31967.0;1770.0;8.5;1377.0;2655.0;2753.0;;;;;;1927.0;37595021.0;23166;25.9
W;27x217;722;359;38.1;610.0;21.1;;4.7;28.9;411.6;322.9;369197.0;10226.0;30.0;5801.0;11602.0;29303.0;1635.0;8.4;1262.0;2453.0;2524.0;;;;;;1540.0;34372591.0;21512;34.5
W;27x194;714;356;34.0;610.0;19.1;;5.2;32.0;367.7;288.7;325493.0;9111.0;29.7;5146.0;10291.0;25723.0;1444.0;8.4;1114.0;2166.0;2229.0;;;;;;1103.0;29807481.0;19305;53
W;27x178;706;358;30.2;610.0;18.4;;5.9;33.1;337.4;264.9;290946.0;8226.0;29.5;4646.0;9291.0;23101.0;1291.0;8.3;1000.0;1937.0;1999.0;;;;;;812.0;26397076.0;17582;78.7
W;27x161;701;356;27.4;610.0;16.8;;6.5;36.4;305.8;239.6;261393.0;7456.0;29.2;4195.0;8390.0;20687.0;1162.0;8.2;893.0;1743.0;1786.0;;;;;;612.0;23443181.0;15996;113
W;27x146;695;355;24.8;610.0;15.4;;7.2;39.7;276.8;217.3;234338.0;6735.0;29.0;3777.0;7554.0;18439.0;1041.0;8.2;799.0;1561.0;1598.0;;;;;;454.0;20730969.0;14548;166
W;27x129;702;254;27.9;610.0;15.5;;4.6;39.3;243.9;192.0;198126.0;5654.0;28.5;3236.0;6473.0;7659.0;603.0;5.6;472.0;905.0;944.0;;;;;;466.0;8727416.0;16478;112
W;27x114;693;256;23.6;610.0;14.5;;5.4;42.1;216.1;169.7;170239.0;4900.0;27.9;2810.0;5621.0;6618.0;516.0;5.5;404.0;774.0;808.0;;;;;;305.0;7411590.0;14479;194
W;27x102;688;254;21.1;610.0;13.1;;6.0;46.6;193.5;151.8;150676.0;4375.0;27.9;2499.0;4998.0;5786.0;456.0;5.5;356.0;683.0;711.0;;;;;;220.0;6444861.0;13031;295
W;27x94;684;254;18.9;610.0;12.4;;6.7;49.0;178.7;139.9;136108.0;3982.0;27.7;2278.0;4556.0;5161.0;406.0;5.4;318.0;610.0;636.0;;;;;;168.0;5719814.0;11997;419
W;27x84;678;253;16.3;610.0;11.7;;7.8;52.2;160.0;125.0;118626.0;3490.0;27.2;1999.0;3998.0;4412.0;347.0;5.3;272.0;521.0;544.0;;;;;;117.0;4806792.0;10825;654
W;24x492;753;359;89.9;533.0;50.0;;2.0;10.7;929.0;732.2;795002.0;21139.0;29.2;12700.0;25400.0;69511.0;3884.0;8.7;3073.0;5826.0;6145.0;;;;;;18980.0;75995650.0;54813;0.9
W;24x408;725;351;75.9;533.0;41.9;;2.3;12.7;767.7;607.2;628509.0;17370.0;28.7;10242.0;20484.0;54943.0;3130.0;8.5;2458.0;4695.0;4916.0;;;;;;11280.0;57466675.0;46746;1.66
W;24x335;699;343;63.0;533.0;35.1;;2.7;15.2;634.8;498.5;495315.0;14158.0;27.9;8357.0;16715.0;42872.0;2491.0;8.2;1950.0;3736.0;3900.0;;;;;;6410.0;42965739.0;39300;3.28
W;24x279;679;338;53.1;533.0;29.5;;3.2;18.1;529.0;415.2;399582.0;11766.0;27.4;6842.0;13683.0;34256.0;2032.0;8.1;1581.0;3048.0;3163.0;;;;;;3817.0;33566983.0;33371;6.25
W;24x250;669;335;48.0;533.0;26.4;;3.5;20.2;474.2;372.0;353380.0;10553.0;27.2;6096.0;12192.0;30135.0;1803.0;8.0;1401.0;2704.0;2802.0;;;;;;2801.0;29001874.0;30130;9.17
W;24x229;661;333;43.9;533.0;24.4;;3.8;21.9;433.5;340.8;318417.0;9636.0;27.2;5539.0;11078.0;27097.0;1629.0;7.9;1262.0;2443.0;2524.0;;;;;;2156.0;25725736.0;27717;12.7
W;24x207;653;330;39.9;533.0;22.1;;4.1;24.1;391.6;308.0;283870.0;8702.0;26.9;4965.0;9931.0;24058.0;1455.0;7.8;1123.0;2183.0;2245.0;;;;;;1607.0;22530159.0;25166;18.4
